username,repo_name,stars,repo_url
amphp,amp,3900,https://github.com/amphp/amp
danog,MadelineProto,2300,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,757,https://github.com/unreal4u/telegram-api
amphp,parallel,662,https://github.com/amphp/parallel
amphp,http-client,654,https://github.com/amphp/http-client
php-service-bus,service-bus,339,https://github.com/php-service-bus/service-bus
amphp,byte-stream,327,https://github.com/amphp/byte-stream
amphp,mysql,307,https://github.com/amphp/mysql
amphp,parallel-functions,241,https://github.com/amphp/parallel-functions
amphp,process,210,https://github.com/amphp/process
amphp,socket,191,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,168,https://github.com/xtrime-ru/TelegramRSS
amphp,redis,136,https://github.com/amphp/redis
amphp,sync,134,https://github.com/amphp/sync
amphp,dns,131,https://github.com/amphp/dns
amphp,websocket-client,120,https://github.com/amphp/websocket-client
kelunik,acme,117,https://github.com/kelunik/acme
amphp,serialization,95,https://github.com/amphp/serialization
amphp,websocket-server,92,https://github.com/amphp/websocket-server
